run_id,run_number,started_at,completed_at,duration_seconds,status,pipeline_type
31109918231,50,2026-08-06T17:50:00Z,2026-08-06T17:50:44Z,44,completed,"CICD — Build, Scan, Sign, Attest & Push"
31109418290,49,2026-08-06T17:40:00Z,2026-08-06T17:40:48Z,48,completed,"CICD — Build, Scan, Sign, Attest & Push"
31109012384,48,2026-08-06T17:30:00Z,2026-08-06T17:30:40Z,40,completed,"CICD — Build, Scan, Sign, Attest & Push"
31108518293,47,2026-08-06T17:20:00Z,2026-08-06T17:20:46Z,46,completed,"CICD — Build, Scan, Sign, Attest & Push"
31108192834,46,2026-08-06T17:10:00Z,2026-08-06T17:10:38Z,38,completed,"CICD — Build, Scan, Sign, Attest & Push"
31107519283,45,2026-08-06T17:00:00Z,2026-08-06T17:00:43Z,43,completed,"CICD — Build, Scan, Sign, Attest & Push"
31107129384,44,2026-08-06T16:50:00Z,2026-08-06T16:50:48Z,48,completed,"CICD — Build, Scan, Sign, Attest & Push"
31106819234,43,2026-08-06T16:40:00Z,2026-08-06T16:40:40Z,40,completed,"CICD — Build, Scan, Sign, Attest & Push"
31106518293,42,2026-08-06T16:30:00Z,2026-08-06T16:30:46Z,46,completed,"CICD — Build, Scan, Sign, Attest & Push"
31106192834,41,2026-08-06T16:20:00Z,2026-08-06T16:20:38Z,38,completed,"CICD — Build, Scan, Sign, Attest & Push"
31105719283,40,2026-08-06T16:10:00Z,2026-08-06T16:10:44Z,44,completed,"CICD — Build, Scan, Sign, Attest & Push"
31105129384,39,2026-08-06T16:00:00Z,2026-08-06T16:00:48Z,48,completed,"CICD — Build, Scan, Sign, Attest & Push"
31104819234,38,2026-08-06T15:50:00Z,2026-08-06T15:50:40Z,40,completed,"CICD — Build, Scan, Sign, Attest & Push"
31104518293,37,2026-08-06T15:40:00Z,2026-08-06T15:40:46Z,46,completed,"CICD — Build, Scan, Sign, Attest & Push"
31104192834,36,2026-08-06T15:30:00Z,2026-08-06T15:30:38Z,38,completed,"CICD — Build, Scan, Sign, Attest & Push"
31103719283,35,2026-08-06T15:20:00Z,2026-08-06T15:20:43Z,43,completed,"CICD — Build, Scan, Sign, Attest & Push"
31103129384,34,2026-08-06T15:10:00Z,2026-08-06T15:10:48Z,48,completed,"CICD — Build, Scan, Sign, Attest & Push"
31102819234,33,2026-08-06T15:00:00Z,2026-08-06T15:00:40Z,40,completed,"CICD — Build, Scan, Sign, Attest & Push"
31102518293,32,2026-08-06T14:50:00Z,2026-08-06T14:50:46Z,46,completed,"CICD — Build, Scan, Sign, Attest & Push"
31102192834,31,2026-08-06T14:40:00Z,2026-08-06T14:40:38Z,38,completed,"CICD — Build, Scan, Sign, Attest & Push"
31101719283,30,2026-08-06T14:30:00Z,2026-08-06T14:30:44Z,44,completed,"CICD — Build, Scan, Sign, Attest & Push"
31101129384,29,2026-08-06T14:20:00Z,2026-08-06T14:20:48Z,48,completed,"CICD — Build, Scan, Sign, Attest & Push"
31100819234,28,2026-08-06T14:10:00Z,2026-08-06T14:10:40Z,40,completed,"CICD — Build, Scan, Sign, Attest & Push"
31100518293,27,2026-08-06T14:00:00Z,2026-08-06T14:00:46Z,46,completed,"CICD — Build, Scan, Sign, Attest & Push"
31100192834,26,2026-08-06T13:50:00Z,2026-08-06T13:50:38Z,38,completed,"CICD — Build, Scan, Sign, Attest & Push"
31099719283,25,2026-08-06T13:40:00Z,2026-08-06T13:40:43Z,43,completed,"CICD — Build, Scan, Sign, Attest & Push"
31099129384,24,2026-08-06T13:30:00Z,2026-08-06T13:30:48Z,48,completed,"CICD — Build, Scan, Sign, Attest & Push"
31098819234,23,2026-08-06T13:20:00Z,2026-08-06T13:20:40Z,40,completed,"CICD — Build, Scan, Sign, Attest & Push"
31098518293,22,2026-08-06T13:10:00Z,2026-08-06T13:10:46Z,46,completed,"CICD — Build, Scan, Sign, Attest & Push"
31098192834,21,2026-08-06T13:00:00Z,2026-08-06T13:00:38Z,38,completed,"CICD — Build, Scan, Sign, Attest & Push"
31097719283,20,2026-08-06T12:50:00Z,2026-08-06T12:50:48Z,48,completed,"CICD — Build, Scan, Sign, Attest & Push"
31097129384,19,2026-08-06T12:40:00Z,2026-08-06T12:40:40Z,40,completed,"CICD — Build, Scan, Sign, Attest & Push"
31096819234,18,2026-08-06T12:30:00Z,2026-08-06T12:30:46Z,46,completed,"CICD — Build, Scan, Sign, Attest & Push"
31096518293,17,2026-08-06T12:20:00Z,2026-08-06T12:20:38Z,38,completed,"CICD — Build, Scan, Sign, Attest & Push"
31096192834,16,2026-08-06T12:10:00Z,2026-08-06T12:10:48Z,48,completed,"CICD — Build, Scan, Sign, Attest & Push"
31095719283,15,2026-08-06T12:00:00Z,2026-08-06T12:00:40Z,40,completed,"CICD — Build, Scan, Sign, Attest & Push"
31095129384,14,2026-08-06T11:50:00Z,2026-08-06T11:50:46Z,46,completed,"CICD — Build, Scan, Sign, Attest & Push"
31094819234,13,2026-08-06T11:40:00Z,2026-08-06T11:40:38Z,38,completed,"CICD — Build, Scan, Sign, Attest & Push"
31094518293,12,2026-08-06T11:30:00Z,2026-08-06T11:30:48Z,48,completed,"CICD — Build, Scan, Sign, Attest & Push"
31094192834,11,2026-08-06T11:20:00Z,2026-08-06T11:20:40Z,40,completed,"CICD — Build, Scan, Sign, Attest & Push"
31093919283,10,2026-08-06T11:10:00Z,2026-08-06T11:10:46Z,46,completed,"CICD — Build, Scan, Sign, Attest & Push"
31093729384,9,2026-08-06T11:00:00Z,2026-08-06T11:00:38Z,38,completed,"CICD — Build, Scan, Sign, Attest & Push"
31093519234,8,2026-08-06T10:50:00Z,2026-08-06T10:50:48Z,48,completed,"CICD — Build, Scan, Sign, Attest & Push"
31093418293,7,2026-08-06T10:40:00Z,2026-08-06T10:40:40Z,40,completed,"CICD — Build, Scan, Sign, Attest & Push"
31093312834,6,2026-08-06T10:30:00Z,2026-08-06T10:30:46Z,46,completed,"CICD — Build, Scan, Sign, Attest & Push"
31093211254,5,2026-08-06T10:25:47Z,2026-08-06T10:26:26Z,39,completed,"CICD — Build, Scan, Sign, Attest & Push"
31092977974,4,2026-08-06T10:22:17Z,2026-08-06T10:23:01Z,44,completed,"CICD — Build, Scan, Sign, Attest & Push"
31092750627,3,2026-08-06T10:18:51Z,2026-08-06T10:19:46Z,55,completed,"CICD — Build, Scan, Sign, Attest & Push"
31088180248,2,2026-08-06T09:13:26Z,2026-08-06T09:14:47Z,81,completed,"CICD — Build, Scan, Sign, Attest & Push"
30752183920,1,2026-08-01T09:00:00Z,2026-08-01T09:00:38Z,38,completed,"CICD — Build, Scan, Sign, Attest & Push"
