Timestamp,Iteration,Pipeline_Type,Build_Time_Sec,SBOM_Time_Sec,Scan_Time_Sec,Total_Time_Sec
2026-08-06 01:10:04,1,Baseline,0.181,0.000,0.000,0.181
2026-08-06 01:10:04,2,Baseline,0.186,0.000,0.000,0.186
2026-08-06 01:10:04,3,Baseline,0.176,0.000,0.000,0.176
2026-08-06 01:10:05,4,Baseline,0.243,0.000,0.000,0.243
2026-08-06 01:10:05,5,Baseline,0.171,0.000,0.000,0.171
2026-08-06 01:10:05,6,Baseline,0.168,0.000,0.000,0.168
2026-08-06 01:10:05,7,Baseline,0.219,0.000,0.000,0.219
2026-08-06 01:10:05,8,Baseline,0.200,0.000,0.000,0.200
2026-08-06 01:10:06,9,Baseline,0.228,0.000,0.000,0.228
2026-08-06 01:10:06,10,Baseline,0.308,0.000,0.000,0.308
2026-08-06 01:10:06,11,Baseline,0.179,0.000,0.000,0.179
2026-08-06 01:10:06,12,Baseline,0.184,0.000,0.000,0.184
2026-08-06 01:10:07,13,Baseline,0.177,0.000,0.000,0.177
2026-08-06 01:10:07,14,Baseline,0.175,0.000,0.000,0.175
2026-08-06 01:10:07,15,Baseline,0.175,0.000,0.000,0.175
2026-08-06 01:10:07,16,Baseline,0.171,0.000,0.000,0.171
2026-08-06 01:10:07,17,Baseline,0.180,0.000,0.000,0.180
2026-08-06 01:10:07,18,Baseline,0.180,0.000,0.000,0.180
2026-08-06 01:10:08,19,Baseline,0.173,0.000,0.000,0.173
2026-08-06 01:10:08,20,Baseline,0.186,0.000,0.000,0.186
2026-08-06 01:10:08,21,Baseline,0.183,0.000,0.000,0.183
2026-08-06 01:10:08,22,Baseline,0.174,0.000,0.000,0.174
2026-08-06 01:10:08,23,Baseline,0.171,0.000,0.000,0.171
2026-08-06 01:10:09,24,Baseline,0.188,0.000,0.000,0.188
2026-08-06 01:10:09,25,Baseline,0.283,0.000,0.000,0.283
2026-08-06 01:10:09,26,Baseline,0.224,0.000,0.000,0.224
2026-08-06 01:10:09,27,Baseline,0.217,0.000,0.000,0.217
2026-08-06 01:10:10,28,Baseline,0.204,0.000,0.000,0.204
2026-08-06 01:10:10,29,Baseline,0.167,0.000,0.000,0.167
2026-08-06 01:10:10,30,Baseline,0.211,0.000,0.000,0.211
2026-08-06 01:10:10,31,Baseline,0.189,0.000,0.000,0.189
2026-08-06 01:10:10,32,Baseline,0.287,0.000,0.000,0.287
2026-08-06 01:10:11,33,Baseline,0.231,0.000,0.000,0.231
2026-08-06 01:10:11,34,Baseline,0.297,0.000,0.000,0.297
2026-08-06 01:10:11,35,Baseline,0.241,0.000,0.000,0.241
2026-08-06 01:10:11,36,Baseline,0.184,0.000,0.000,0.184
2026-08-06 01:10:12,37,Baseline,0.215,0.000,0.000,0.215
2026-08-06 01:10:12,38,Baseline,0.228,0.000,0.000,0.228
2026-08-06 01:10:12,39,Baseline,0.205,0.000,0.000,0.205
2026-08-06 01:10:12,40,Baseline,0.208,0.000,0.000,0.208
2026-08-06 01:10:13,41,Baseline,0.224,0.000,0.000,0.224
2026-08-06 01:10:13,42,Baseline,0.210,0.000,0.000,0.210
2026-08-06 01:10:13,43,Baseline,0.203,0.000,0.000,0.203
2026-08-06 01:10:13,44,Baseline,0.199,0.000,0.000,0.199
2026-08-06 01:10:13,45,Baseline,0.196,0.000,0.000,0.196
2026-08-06 01:10:14,46,Baseline,0.197,0.000,0.000,0.197
2026-08-06 01:10:14,47,Baseline,0.200,0.000,0.000,0.200
2026-08-06 01:10:14,48,Baseline,0.213,0.000,0.000,0.213
2026-08-06 01:10:14,49,Baseline,0.207,0.000,0.000,0.207
2026-08-06 01:10:15,50,Baseline,0.189,0.000,0.000,0.189
2026-08-06 01:10:15,1,Secure,0.172,6.966,0.177,7.314
2026-08-06 01:10:22,2,Secure,0.258,7.056,0.187,7.502
2026-08-06 01:10:30,3,Secure,0.216,6.591,0.172,6.980
2026-08-06 01:10:37,4,Secure,0.182,6.997,0.173,7.353
2026-08-06 01:10:44,5,Secure,0.222,6.408,0.169,6.799
2026-08-06 01:10:51,6,Secure,0.184,6.052,0.193,6.430
2026-08-06 01:10:57,7,Secure,0.236,6.519,0.240,6.995
2026-08-06 01:11:04,8,Secure,0.261,6.526,0.192,6.979
2026-08-06 01:11:11,9,Secure,0.248,6.265,0.282,6.795
2026-08-06 01:11:18,10,Secure,0.258,8.099,0.735,9.092
2026-08-06 01:11:27,11,Secure,0.599,6.397,0.197,7.193
2026-08-06 01:11:34,12,Secure,0.242,6.478,0.192,6.912
2026-08-06 01:11:41,13,Secure,0.205,6.286,0.161,6.652
2026-08-06 01:11:48,14,Secure,0.167,7.069,0.182,7.418
2026-08-06 01:11:55,15,Secure,0.189,6.542,0.288,7.019
2026-08-06 01:12:03,16,Secure,0.272,7.409,0.255,7.936
2026-08-06 01:12:10,17,Secure,0.267,6.782,0.207,7.256
2026-08-06 01:12:18,18,Secure,0.261,6.129,0.199,6.589
2026-08-06 01:12:24,19,Secure,0.229,6.479,0.189,6.897
2026-08-06 01:12:31,20,Secure,0.210,7.238,0.174,7.623
2026-08-06 01:12:39,21,Secure,0.185,6.330,0.209,6.724
2026-08-06 01:12:46,22,Secure,0.305,6.917,0.191,7.413
2026-08-06 01:12:53,23,Secure,0.223,6.181,0.197,6.601
2026-08-06 01:13:00,24,Secure,0.217,5.784,0.160,6.162
2026-08-06 01:13:06,25,Secure,0.201,6.020,0.169,6.390
2026-08-06 01:13:12,26,Secure,0.201,6.156,0.207,6.563
2026-08-06 01:13:19,27,Secure,0.236,6.368,0.212,6.816
2026-08-06 01:13:26,28,Secure,0.231,6.187,0.199,6.617
2026-08-06 01:13:32,29,Secure,0.332,6.553,0.192,7.077
2026-08-06 01:13:40,30,Secure,0.183,6.761,0.314,7.258
2026-08-06 01:13:47,31,Secure,0.496,7.098,0.215,7.809
2026-08-06 01:13:55,32,Secure,0.243,6.602,0.173,7.019
2026-08-06 01:14:02,33,Secure,0.183,6.713,0.248,7.144
2026-08-06 01:14:09,34,Secure,0.244,6.427,0.180,6.851
2026-08-06 01:14:16,35,Secure,0.242,6.003,0.187,6.432
2026-08-06 01:14:22,36,Secure,0.218,6.223,0.192,6.633
2026-08-06 01:14:29,37,Secure,0.238,6.011,0.219,6.468
