Iteration,Model,Latency_Seconds
1,Baseline,0.645
2,Baseline,0.313
3,Baseline,0.403
4,Baseline,0.335
5,Baseline,0.231
6,Baseline,0.196
7,Baseline,0.250
8,Baseline,0.203
9,Baseline,0.191
10,Baseline,0.200
11,Baseline,0.224
12,Baseline,0.202
13,Baseline,0.222
14,Baseline,0.264
15,Baseline,0.237
16,Baseline,0.235
17,Baseline,0.233
18,Baseline,0.239
19,Baseline,0.228
20,Baseline,0.293
21,Baseline,0.257
22,Baseline,0.244
23,Baseline,0.234
24,Baseline,0.247
25,Baseline,0.203
26,Baseline,0.254
27,Baseline,0.183
28,Baseline,0.211
29,Baseline,0.193
30,Baseline,0.205
31,Baseline,0.254
32,Baseline,0.195
33,Baseline,0.196
34,Baseline,0.203
35,Baseline,0.204
36,Baseline,0.210
37,Baseline,0.265
38,Baseline,0.209
39,Baseline,0.205
40,Baseline,0.241
41,Baseline,0.222
42,Baseline,0.247
43,Baseline,0.237
44,Baseline,0.191
45,Baseline,0.209
46,Baseline,0.281
47,Baseline,0.210
48,Baseline,0.220
49,Baseline,0.224
50,Baseline,0.228
1,Secure,13.460
2,Secure,8.831
3,Secure,10.435
4,Secure,9.338
5,Secure,10.283
6,Secure,9.171
7,Secure,7.397
8,Secure,7.795
9,Secure,7.524
10,Secure,7.411
11,Secure,8.905
12,Secure,7.426
13,Secure,6.950
14,Secure,7.798
15,Secure,7.231
16,Secure,9.110
17,Secure,7.970
18,Secure,7.454
19,Secure,6.815
20,Secure,8.479
21,Secure,8.542
22,Secure,7.553
23,Secure,7.664
24,Secure,8.127
25,Secure,10.501
26,Secure,8.254
27,Secure,9.030
28,Secure,8.239
29,Secure,6.657
30,Secure,6.563
31,Secure,7.131
32,Secure,6.987
33,Secure,7.097
34,Secure,8.580
35,Secure,6.979
36,Secure,8.290
37,Secure,7.657
38,Secure,7.210
39,Secure,7.002
40,Secure,7.172
41,Secure,7.586
42,Secure,7.253
43,Secure,7.235
44,Secure,6.875
45,Secure,7.853
46,Secure,7.222
47,Secure,7.102
48,Secure,6.570
49,Secure,7.129
50,Secure,6.718
